Time,Hospitalization,Covid,VEp
0,0,0,0
0.25,0.401036559,0.379878163,0.03411974
0.5,0.645991514,0.619201969,0.07035106
0.75,0.789585797,0.767019614,0.096858724
1,0.87546081,0.857117988,0.128377406
1.25,0.9092477,0.889497091,0.178733838
1.5,0.934587868,0.917652833,0.20565413
2,0.964151397,0.948624149,0.302228531
2.25,0.959928036,0.938769639,0.345554014
2.5,0.955704674,0.924691768,0.411812961
2.75,0.951481313,0.906390536,0.481690366
3,0.944442378,0.886681517,0.509721446
3.25,0.94303459,0.876827007,0.537517043
3.5,0.94303459,0.866972497,0.571777199
3.75,0.94303459,0.855710201,0.605201404
4,0.94303459,0.844447904,0.633785648
4.25,0.937403442,0.836001181,0.618310922
4.5,0.931772294,0.827554459,0.604352159
4.75,0.926141145,0.819107736,0.591696995
5,0.920509997,0.807845439,0.58632258
5.25,0.917694423,0.799398717,0.58970563
5.5,0.913471061,0.78813642,0.591581814
5.75,0.9092477,0.775466336,0.595818737
6,0.906432126,0.762796252,0.605537961
6.25,0.900800978,0.743087233,0.613880528
6.5,0.897985403,0.72056264,0.634928569
6.75,0.892354255,0.695222472,0.646805505
7,0.888130894,0.669882304,0.661123571
7.25,0.897985403,0.672697878,0.688316726
7.5,0.9092477,0.675513453,0.7203203
7.75,0.917694423,0.678329027,0.744131165
8,0.924733358,0.681144601,0.763947412
