Time,Hospitalization,Covid,VEp
0,0,0,
0.25,0.279966869,0.319143318,
0.5,0.496766082,0.528903595,
0.75,0.645991514,0.679536814,
1,0.751575546,0.783713059,
1.25,0.855751791,0.858325775,-0.018168329
1.5,0.916286636,0.90900611,0.080011152
1.75,0.9528891,0.941385213,0.19626254
2,0.972598119,0.96250202,0.26924381
2.25,0.969782545,0.956870871,0.299372473
2.5,0.965559184,0.948424149,0.332229807
2.75,0.959928036,0.939977426,0.332385112
3,0.954296887,0.930122917,0.345949902
3.25,0.957112461,0.927307342,0.410015534
3.5,0.959928036,0.924491768,0.469303373
3.75,0.964151397,0.921676194,0.542302592
4,0.966966971,0.91886062,0.592885366
4.25,0.96274361,0.910413897,0.584127574
4.5,0.959928036,0.900559388,0.597026173
4.75,0.955704674,0.892112665,0.589429788
5,0.951481313,0.880850368,0.592791969
5.25,0.948665739,0.870995859,0.602072766
5.5,0.948665739,0.861141349,0.630312835
5.75,0.945850165,0.849879052,0.639291946
6,0.944442378,0.838616755,0.655741078
6.25,0.94303459,0.830170033,0.664573862
6.5,0.94303459,0.823131097,0.677922976
6.75,0.94303459,0.816092162,0.690250233
7,0.94303459,0.807645439,0.703852044
7.25,0.944442378,0.802014291,0.719385696
7.5,0.945850165,0.794975356,0.735886214
7.75,0.948665739,0.78793642,0.757929858
8,0.950073526,0.782305272,0.770658323
